unSid,unTimeAction,nX,nY,strAnitile,unScale,strSoundtile,unTime,nData
100,0,-38,-88,c1_sta,100,,0,0
102,0,-38,-97,c1_att,100,music/skill/m_atc.ogg,0,0
103,0,0,0,0,100,,0,0
104,0,-45,-102,c1_hur,100,music/skill/m_hit.ogg,0,0
105,0,0,0,0,100,,0,0
106,0,-147,-106,c1_die,100,music/skill/m_death.ogg,0,0
107,0,0,0,0,100,,0,0
111,0,-38,-97,c1_mag,100,,0,0
112,0,0,0,0,100,,0,0
200,0,-37,-96,r5_sta,100,,0,0
202,0,-37,-96,r5_att,100,music/skill/m_atc.ogg,0,0
203,0,0,0,0,100,,0,0
204,0,-79,-96,r5_hur,100,music/skill/m_hit.ogg,0,0
205,0,0,0,0,100,,0,0
206,0,-119,-107,r5_die,100,music/skill/m_death.ogg,0,0
207,0,0,0,0,100,,0,0
211,0,-37,-96,r5_mag,100,,0,0
212,0,0,0,0,100,,0,0
300,0,-31,-92,r1_sta,100,,0,0
302,0,-31,-91,r1_att,100,music/skill/m_atc.ogg,0,0
303,0,0,0,0,100,,0,0
304,0,-77,-95,r1_hur,100,music/skill/m_hit.ogg,0,0
305,0,0,0,0,100,,0,0
306,0,-116,-144,r1_die,100,music/skill/m_death.ogg,0,0
307,0,0,0,0,100,,0,0
311,0,-31,-91,r1_mag,100,,0,0
312,0,0,0,0,100,,0,0
400,0,-32,-99,c3_sta,100,,0,0
402,0,-34,-101,c3_att,100,music/skill/m_atc.ogg,0,0
403,0,0,0,0,100,,0,0
404,0,-61,-100,c3_hur,100,music/skill/m_hit.ogg,0,0
405,0,0,0,0,100,,0,0
406,0,-143,-99,c3_die,100,music/skill/m_death.ogg,0,0
407,0,0,0,0,100,,0,0
411,0,-32,-113,c3_mag,100,,0,0
412,0,0,0,0,100,,0,0
500,0,-38,-87,r2_sta,100,,0,0
502,0,-38,-87,r2_att,100,music/skill/m_atc.ogg,0,0
503,0,0,0,0,100,,0,0
504,0,-62,-97,r2_hur,100,music/skill/m_hit.ogg,0,0
505,0,0,0,0,100,,0,0
506,0,-151,-134,r2_die,100,music/skill/m_death.ogg,0,0
507,0,0,0,0,100,,0,0
511,0,-52,-87,r2_mag,100,,0,0
512,0,0,0,0,100,,0,0
600,0,-48,-73,s11_sta,100,,0,0
602,0,-48,-74,s11_att,100,music/skill/m_atc.ogg,0,0
603,0,0,0,0,100,,0,0
604,0,-83,-75,s11_hur,100,music/skill/m_hit.ogg,0,0
605,0,0,0,0,100,,0,0
606,0,-142,-99,s11_die,100,music/skill/m_death.ogg,0,0
607,0,0,0,0,100,,0,0
611,0,-48,-74,s11_mag,100,,0,0
612,0,0,0,0,100,,0,0
700,0,-32,-96,r11_sta,100,,0,0
702,0,-32,-96,r11_att,100,music/skill/m_atc.ogg,0,0
703,0,0,0,0,100,,0,0
704,0,-42,-95,r11_hur,100,music/skill/m_hit.ogg,0,0
705,0,0,0,0,100,,0,0
706,0,-98,-98,r11_die,100,music/skill/m_death.ogg,0,0
707,0,0,0,0,100,,0,0
711,0,-33,-96,r11_mag,100,,0,0
712,0,0,0,0,100,,0,0
800,0,-130,-300,b1_sta,45,,0,0
802,0,-150,-360,b1_att,45,music/skill/m_atc.ogg,0,0
803,0,0,0,0,100,,0,0
804,0,-160,-300,b1_hur,45,music/skill/m_hit.ogg,0,0
805,0,0,0,0,100,,0,0
806,0,-420,-330,b1_die,45,music/skill/m_death.ogg,0,0
807,0,0,0,0,100,,0,0
811,0,-130,-300,b1_mag,45,,0,0
812,0,0,0,0,100,,0,0
900,0,-54,-90,r9_sta,100,,0,0
902,0,-58,-132,r9_att,100,music/skill/m_atc.ogg,0,0
903,0,0,0,0,100,,0,0
904,0,-89,-90,r9_hur,100,music/skill/m_hit.ogg,0,0
905,0,0,0,0,100,,0,0
906,0,-110,-108,r9_die,100,music/skill/m_death.ogg,0,0
907,0,0,0,0,100,,0,0
911,0,-54,-91,r9_mag,100,,0,0
912,0,0,0,0,100,,0,0
1000,0,-42,-90,r23_sta,100,,0,0
1002,0,-53,-90,r23_att,100,music/skill/m_atc.ogg,0,0
1003,0,0,0,0,100,,0,0
1004,0,-61,-90,r23_hur,100,music/skill/m_hit.ogg,0,0
1005,0,0,0,0,100,,0,0
1006,0,-131,-89,r23_die,100,music/skill/m_death.ogg,0,0
