unSid,nX,nY,nWidth,nHeight,nRota,nFrame,strAnitile
21,304,301,191,36,0,1,arrow_string1
31,213,161,151,109,0,1,arrow_string2
32,469,179,134,94,0,1,arrow_string3
41,165,128,87,103,0,1,arrow_string4
42,365,145,65,121,0,1,arrow_string5
43,457,290,97,56,0,1,arrow_string6
51,164,130,125,79,0,1,arrow_string7
52,388,136,118,35,0,1,arrow_string8
53,392,238,154,77,0,1,arrow_string9
54,358,357,146,50,0,1,arrow_string10
61,134,237,35,73,0,1,arrow_string11
62,216,120,110,49,0,1,arrow_string12
63,422,132,114,37,0,1,arrow_string13
64,454,246,123,74,0,1,arrow_string14
65,450,345,107,45,0,1,arrow_string15
