unSid,nType,strShow,nSendID
0,0,全部,0
1,0,1-10级,10
2,1,全部,5
3,1,白色,0
4,2,全部,0
5,2,一级,1
6,3,全部,5
7,3,白色,0
8,4,全部,0
9,4,新手村,6
10,0,11-20级,20
11,0,21-30级,30
12,0,31-40级,40
13,0,41-50级,50
14,0,51-60级,60
15,0,61-70级,70
16,0,71-80级,80
17,0,81-90级,90
18,0,91-99级,99
19,1,绿色,1
20,1,蓝色,2
21,1,红色,3
22,1,紫色,4
23,2,二级,2
24,2,三级,3
25,2,四级,4
26,2,五级,5
27,2,六级,6
28,2,七级,7
29,2,八级,8
30,2,九级,9
31,2,十级,10
32,3,绿色,1
33,3,蓝色,2
34,3,红色,3
35,3,紫色,4
36,4,广州,8
37,4,福州,5
38,4,成都,1
39,4,宁波,2
40,4,南京,11
41,4,武汉,3
42,4,西安,7
43,4,大同,10
44,4,北京,9
