unLevel,unTime,unQuality,unNumber
30,20,0,5
31,20,0,5
32,20,0,5
33,20,0,5
34,20,0,5
35,20,0,5
36,20,0,5
37,20,0,5
38,20,0,5
39,20,0,5
40,25,1,5
41,25,1,5
42,25,1,5
43,25,1,5
44,25,1,5
45,25,1,5
46,25,1,5
47,25,1,5
48,25,1,5
49,25,1,5
50,28,2,5
51,28,2,5
52,28,2,5
53,28,2,5
54,28,2,5
55,28,2,5
56,28,2,5
57,28,2,5
58,28,2,5
59,28,2,5
60,30,2,6
61,30,2,6
62,30,2,6
63,30,2,6
64,30,2,6
65,30,2,6
66,30,2,6
67,30,2,6
68,30,2,6
69,30,2,6
70,32,2,7
71,32,2,7
72,32,2,7
73,32,2,7
74,32,2,7
75,32,2,7
76,32,2,7
77,32,2,7
78,32,2,7
79,32,2,7
80,35,2,8
81,35,2,8
82,35,2,8
83,35,2,8
84,35,2,8
85,35,2,8
86,35,2,8
87,35,2,8
88,35,2,8
89,35,2,8
90,38,2,10
91,38,2,10
92,38,2,10
93,38,2,10
94,38,2,10
95,38,2,10
96,38,2,10
97,38,2,10
98,38,2,10
99,38,2,10
