nCityId,nHideId,strName,nX,nY,nWidth,nHeight,nXName,nYName
1,10,hidename_10,75,70,165,96,122,147
1,12,hidename_12,489,37,168,151,514,182
1,11,hidename_11,270,156,168,155,310,305
1,29,hidename_29,46,285,209,171,77,448
1,9,hidename_9,478,272,180,148,532,412
2,15,hidename_15,45,79,146,159,74,227
2,14,hidename_14,477,22,202,146,531,159
2,16,hidename_16,261,171,188,130,310,293
2,13,hidename_13,54,296,209,153,116,440
2,17,hidename_17,482,302,209,153,519,449
3,25,hidename_25,96,75,154,125,133,193
3,27,hidename_27,519,125,146,125,523,240
3,23,hidename_23,276,199,115,110,265,301
3,24,hidename_24,81,301,124,110,74,409
3,26,hidename_26,435,293,124,110,452,398
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,6,hidename_6,240,83,182,99,280,180
5,5,hidename_5,33,186,158,132,68,310
5,7,hidename_7,534,144,158,132,553,269
5,8,hidename_8,184,357,171,120,190,471
7,2,hidename_2,38,51,290,127,119,171
7,4,hidename_4,477,10,138,175,504,181
7,1,hidename_1,245,191,205,154,309,336
7,28,hidename_28,515,213,182,182,542,391
7,3,hidename_3,56,358,212,144,120,480
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,31,hidename_31,250,0,212,144,301,135
10,30,hidename_30,524,83,145,147,541,225
10,33,hidename_33,315,151,217,146,389,289
10,34,hidename_34,76,228,171,105,92,328
10,32,hidename_32,187,346,205,134,223,476
11,20,hidename_20,65,5,189,131,124,124
11,21,hidename_21,456,48,178,132,477,174
11,19,hidename_19,261,163,142,143,294,297
11,22,hidename_22,35,276,199,160,64,430
11,18,hidename_18,477,232,149,196,507,419
12,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,35,hidename_35,37,170,179,200,110,328
15,36,hidename_36,485,115,197,145,505,213
15,37,hidename_37,219,62,207,117,293,150
