unIndex,strInfo
1,打过关通道怪物会掉“钻石”，“钻石”是合成装备的必要材料之一。
2,打过关通道怪物会掉“钻石”，“钻石”是合成装备的必要材料之一。
3,大明最变态的3个伙伴分别是：朱元璋（攻将）、袁崇焕（防将）、魏忠贤（阉派）。
4,今天想干些啥呢？打开“助手”，她会细心提醒您。
5,去倒卖场当明朝倒爷，赚取的美刀可以用来兑换金币哟！
6,强化100%成功！只要是前10级强化！
7,想招募更牛的人才？去城外采集特产，给人才送礼啊。采到的水晶还可用来合装备。
8,打不过怪物？情绪稳定，木有压力！强化装备、训练技能，就能再次雄起！
9,不会玩？安啦，点击界面右上角的“秘籍”就明白啦！
10,想要更牛？转职啊！（升到20级即可）
11,人才市场就在职业会所哦！那里甚至有紫色品质高级人才出没，可遇不可求！抓住机会！
12,缺金币？去劳务市场打工啊！不同的工种，还能改变你的混世能力！
13,去角色界面，给你和你的伙伴穿上装备。别忘了哦，亲！
14,装备和宝石啥算高级？简单，星级越高越好嘛。
15,在明朝，木有学问您都不好意思跟人打招呼！去考场考试升学位，学位越高每天俸禄越多哦！
16,大明最变态的3个伙伴分别是：朱元璋（攻将）、袁崇焕（防将）、魏忠贤（阉派）。
17,“过关通道”掉钻石，“采集点”水晶，“野怪中心”掉玛瑙，合装备需要它们哦。
18,采集能发现隐藏地点，里面有精英怪、高品质宝石和伙伴。嘘！不要让别人知道！
19,大明有恶人！注意城墙上的通缉令！您出手捉拿通缉犯，可获得金币赏金哦！
20,被捉拿的通缉犯将被打入大牢，坐牢的人需要交水晶才能出来。
21,大明最变态的3个伙伴分别是：朱元璋（攻将）、袁崇焕（防将）、魏忠贤（阉派）。
22,加入帮会，每天可以领取大量金币和经验福利，不拿白不拿哟！
23,被人欺负？恨一个人？通缉他！自有高人出手，把他打入大牢！
24,隐藏地点出产红色品质宝石，可以在神秘合成店合成红色品质装备。
25,去PK中心打败别人，就可能让他给你当苦工，他打工，你得金币！爽死！
26,大明最变态的3个伙伴分别是：朱元璋（攻将）、袁崇焕（防将）、魏忠贤（阉派）。
27,升级慢？别急吖，做任务领经验吧！
28,想训练技能，战功不够？做日常任务、打过关通道、隐藏副本、去PK中心找人PK可以得战功。
29,玩游戏，万一老板来了，速度点击界面右上角的“防老板”即可！
30,每天首次上线，可提升混世术—鄙视策划技，升级可以得元宝哦！
31,活着要有志气！玩游戏要有成就！点击“成就”，看你的成就！
32,15世纪啥最贵？人才！紧盯各地职业会所，说不定有高品质人才出现哦!
33,有闲？玩玩倒卖，赚钱啊！做到有闲又有钱！
34,去考场考试，你现在的学位根本匹配不上你的身份啊。
35,有人暗恋你吗？留意你信件里的互动消息哟，说不定有人向你求婚吖！
36,装备、物品、伙伴好坏依次是灰色（最差）、绿色、蓝色、红色、紫色（最好）。
37,隐藏风景里有蓝色以上品质的伙伴，需要威望达到一定要求，并使用各地特产即可招募到。
38,发布通缉令、在成都以上城市参加擂台赛、在帮会添砖、夫妻互动可提升你的威望。
39,提升你的威望，最直接的途径是参加擂台赛，去试试吧！
40,放心的强化你的任何装备吧！低等级或低品质装备，可以通过强化转移功能将属性转移到高穿戴等级或高品质装备上。
41,缺战功吗？完成日常任务可以获得大量战功奖励。
42,完成“惊爆任务”，会有超高额奖励哦！劲爆！惊爆！爽！
43,人间有真情，找个爱人结婚吧，夫妻互动会有各种奖励哦！
44,去PK中心找人PK，胜利后有可能将其变成你的苦工，苦工打工收益的10%归你哦。
45,宁波以后有神秘商店，神秘商店有各种稀有物品。
46,充值升级你的VIP等级可以获得各种特权，啥特权？你充值了就知道哦！
47,你可以将你伙伴身上的技能在技能训练界面重置为1级，将返还100%的战功给你。
