nCityId,nX,nY,strTitle,nFrameRate
1,320,400,map_chengpai,5
1,320,400,map_name1,0
2,267,406,map_chengpai,5
2,267,406,map_name2,0
3,140,393,map_chengpai,5
3,140,393,map_name3,0
4,0,0,0,0
4,0,0,0,0
5,372,410,map_chengpai,5
5,372,410,map_name5,0
6,0,0,0,0
6,0,0,0,0
7,303,395,map_chengpai,5
7,303,395,map_name7,0
8,0,0,0,0
8,0,0,0,0
9,0,0,0,0
9,0,0,0,0
10,322,411,map_chengpai,5
10,322,411,map_name10,0
11,317,411,map_chengpai,5
11,317,411,map_name11,0
12,0,0,0,0
12,0,0,0,0
13,0,0,0,0
13,0,0,0,0
14,0,0,0,0
14,0,0,0,0
15,355,400,map_chengpai,5
15,355,400,map_name15,0
