nCityId,nTag,strName,nX,nY,nWidth,nHeight
1,70,进城,267,110,187,150
1,71,通关通道,77,0,150,150
1,72,采集点,513,80,176,131
1,73,隐藏地点,67,327,265,156
1,74,野怪中心,447,339,236,140
2,70,进城,259,151,190,126
2,71,通关通道,37,91,176,116
2,72,采集点,502,83,198,131
2,73,隐藏地点,49,302,211,151
2,74,野怪中心,470,237,141,167
3,70,进城,274,34,183,123
3,71,通关通道,24,88,228,119
3,72,采集点,463,107,219,119
3,73,隐藏地点,34,357,272,128
3,74,野怪中心,445,368,241,128
4,70,进城,249,149,198,127
4,71,通关通道,28,34,198,127
4,72,采集点,479,133,198,127
4,73,隐藏地点,80,328,240,135
4,74,野怪中心,459,370,240,135
5,70,进城,245,177,192,122
5,71,通关通道,32,81,192,140
5,72,采集点,491,94,192,140
5,73,隐藏地点,84,338,227,140
5,74,野怪中心,430,353,227,140
6,70,进城,285,200,192,131
6,71,通关通道,129,97,140,126
7,70,进城,261,80,194,126
7,71,通关通道,21,83,168,137
7,72,采集点,505,112,168,137
7,73,隐藏地点,65,323,207,167
7,74,野怪中心,457,325,207,167
8,70,进城,219,61,190,118
8,71,通关通道,12,109,205,135
8,72,采集点,511,79,187,101
9,70,进城,272,99,187,119
9,71,通关通道,28,61,155,130
9,72,采集点,488,100,172,140
9,73,隐藏地点,93,298,250,153
9,74,野怪中心,453,360,239,143
10,70,进城,260,76,189,129
10,71,通关通道,21,68,189,148
10,72,采集点,464,85,176,126
10,73,隐藏地点,31,321,304,147
10,74,野怪中心,450,253,222,179
11,70,进城,271,147,191,121
11,71,通关通道,29,92,191,125
11,72,采集点,474,111,199,129
11,73,隐藏地点,62,354,199,129
11,74,野怪中心,474,323,199,129
12,70,进城,265,81,199,129
12,71,通关通道,26,77,199,129
12,72,采集点,483,95,199,129
12,73,隐藏地点,48,323,215,139
12,74,野怪中心,439,310,215,173
13,70,进城,266,91,198,127
13,71,通关通道,29,126,170,127
13,72,采集点,493,135,170,117
13,73,隐藏地点,40,320,188,154
13,74,野怪中心,466,334,188,139
15,70,进城,272,165,188,105
15,71,通关通道,25,4,181,135
15,72,采集点,479,103,203,110
15,73,隐藏地点,28,301,172,148
15,74,野怪中心,456,341,223,149
