nIndex,nParam,strDesc
0,150,显示按钮面板后的X偏移值
1,100,显示按钮面板后的Y偏移值
2,10,城市名称偏移值
3,400,地图飞行时间ms
4,18,城市名字体
5,78,通关地图Text位置X
6,445,通关地图Text位置Y
7,150,人物当前位置X偏移值
8,110,人物当前位置Y偏移值
9,220,城市旗帜位置X偏移值
10,105,城市旗帜位置Y偏移值
11,235,城市旗号位置X偏移值
12,110,城市旗号位置Y偏移值
13,70,城市图片缩放比例X/100
14,70,城市图片缩放比例Y/100
15,80,内城建筑图片缩放比例X/100
16,80,内城建筑图片缩放比例Y/100
17,100,怪物图片缩放比例X/100
18,100,怪物图片缩放比例X/100
19,100,野怪中心怪物图片缩放比例X/100
20,100,野怪中心怪物图片缩放比例Y/100
21,-10,过关通道flag偏移X
22,0,过关通道flag偏移Y
23,240,新手村老头坐标x
24,200,老头坐标Y
25,370,新手村小孩坐标x
26,200,小孩坐标Y
