unIndex,nStep,nOpStep,nCityId,strType,strToggleEvt,strToggleCond,strContent,strOpText,strGetContent,strGetItemArr,strNpcImg,nPosX,nPosY,nArrowType,strRenderTag
0,1,1,6,npc_dlg,,,$player_name，欢迎来到伟大的明朝。\n在这个时代，只要你足够努力，就没有什么是你搞不砸的！,呵呵，那我一定努力。,,,image_npc17,0,0,0,
1,1,2,6,npc_dlg,,,你是新手村的一个混混，而且是文盲，游手好闲。\n看，邻居二婶子急匆匆找你来了！,找我做啥，我最近没惹着她。,,,image_npc17,0,0,0,
2,1,3,6,npc_dlg,,,孩子，出事了！你义父被锦衣卫抓到广州去了！\n赶快去救他吧，因为他知道一个重大秘密。,什么秘密？,,,image_npc6,0,0,0,
3,1,4,6,npc_dlg,,,你身世的秘密。\n你的出生和使命，都是谜，只有你的义父知道。,那我一定去救他。,,,image_npc6,0,0,0,
4,1,5,6,npc_dlg,,,真是有志气的孩子！\n这是我家祖传的晾衣杆，送给你作为武器吧！,感谢婶子，我这就带上！,获得装备:</#009c48>一星晾衣杆</D>,1002,image_npc6,0,0,0,
5,2,1,6,op,,,点这里，打开“角色属性面板”。,,,,,13,95,0,CDlgShell:Panel:pnlBtn
6,2,2,6,op,index_member_index,,点这里，装备一把武器。,,,,,436,127,2,CDlgPlayerInfo
7,2,3,6,op,index_member_get_weapon,dlg_CDlgPlayerInfo,点这里，将武器装备到身上。,,,,,86,191,0,CDlgEquipList
8,2,4,6,op,index_member_set_weapon,,点这里，关闭界面。,,,,,600,80,1,CDlgPlayerInfo
9,2,5,6,op,help_member-panel,,,,,,,0,0,0,
10,3,1,6,npc_dlg,,,你真是天才！居然会拿武器了。\n我女儿小翠对这一带比较熟悉，让他带你去广州吧。,我最喜欢和小翠在一起了。,,,image_npc6,0,0,0,
11,3,2,6,npc_dlg,,pos_cityIn_6,$girl_boy，我是小翠。\n时间紧迫，赶紧跟我走吧。,好，你带路！,,,image_npc16,0,0,0,
12,3,3,6,op,,pos_cityIn_6,点这里，去城外找过关通道。,,,,,467,142,0,CGameMapMgr
13,3,4,6,op,go2out,pos_cityOut_6,进入过关通道，打通才能去广州。,,,,,334,130,2,CGameMapMgr
14,3,5,6,op,go2dungeon,,,,,,,0,0,0,
15,4,1,6,npc_dlg,,pos_dungeon_1,这些怪都将阻碍你去广州，你需将他们一一消灭。\n按顺序从左边第一个怪物开始打吧！,小菜一碟，看我的！,,,image_npc16,0,0,0,
16,4,2,6,op,,pos_dungeon_1,点这里，攻击这个怪。,,,,,336,275,2,CGameMapMgr
17,4,3,6,op,city_dungeon_team_0_1,dungeon_team_1_1,点这里，开始战斗。,,,,,0,0,2,CDlgDungeonTeam
18,4,4,6,op,city_dungeon_pk_0_1,pos_dungeon_1,,,,,,0,0,0,
19,5,1,6,op,,pos_dungeon_1,点这里，攻击这个怪。,,,,,247,94,3,CGameMapMgr
20,5,2,6,op,city_dungeon_team_0_2,dungeon_team_1_2,点这里，开始战斗。,,,,,0,0,2,CDlgDungeonTeam
21,5,3,6,op,city_dungeon_pk_0_2,pos_dungeon_1,,,,,,0,0,0,
22,6,1,6,op,,pos_dungeon_1,点这里，攻击这个怪。,,,,,397,296,3,CGameMapMgr
23,6,2,6,op,city_dungeon_team_0_3,dungeon_team_1_3,点这里，开始战斗。,,,,,0,0,2,CDlgDungeonTeam
