unSid,strWord
1,毛泽东
2,周恩来
3,刘少奇
4,朱德
5,彭德怀
6,林彪
7,刘伯承
8,陈毅
9,贺龙
10,聂荣臻
11,徐向前
12,罗荣桓
13,叶剑英
14,李大钊
15,陈独秀
16,孙中山
17,孙文
18,孙逸仙
19,邓小平
20,陈云
21,江泽民
22,李鹏
23,朱镕基
24,李瑞环
25,尉健行
26,李岚清
27,胡锦涛
28,罗干
29,温家宝
30,吴邦国
31,曾庆红
32,贾庆林
33,黄菊
34,吴官正
35,李长春
36,吴仪
37,回良玉
38,曾培炎
39,周永康
40,曹刚川
41,唐家璇
42,华建敏
43,陈至立
44,陈良宇
45,张德江
46,张立昌
47,俞正声
48,王乐泉
49,刘云山
50,王刚
51,王兆国
52,刘淇
53,贺国强
54,郭伯雄
55,胡耀邦
56,王乐泉
57,王兆国
58,周永康
59,李登辉
60,连战
61,陈水扁
62,宋楚瑜
63,吕秀莲
64,郁慕明
65,蒋介石
66,蒋中正
67,蒋经国
68,马英九
69,习近平
70,李克强
71,吴帮国
72,无帮国
73,无邦国
74,无帮过
75,瘟家宝
76,假庆林
77,甲庆林
78,假青林
79,离长春
80,习远平
81,袭近平
82,李磕墙
83,贺过墙
84,和锅枪
85,粥永康
86,轴永康
87,肘永康
88,周健康
89,粥健康
90,周小康
91,布什
92,布莱尔
93,小泉
94,纯一郎
95,萨马兰奇
96,安南
97,阿拉法特
98,普京
99,默克尔
100,克林顿
101,里根
102,尼克松
103,林肯
104,杜鲁门
105,赫鲁晓夫
106,列宁
107,斯大林
108,马克思
109,恩格斯
110,金正日
111,金日成
112,萨达姆
113,胡志明
114,西哈努克
115,希拉克
116,撒切尔
117,阿罗约
118,曼德拉
119,卡斯特罗
120,富兰克林
121,华盛顿
122,艾森豪威尔
123,拿破仑
124,亚历山大
125,路易
126,拉姆斯菲尔德
127,劳拉
128,鲍威尔
129,奥巴马
130,本拉登
131,奥马尔
132,柴玲
133,达赖喇嘛
134,江青
135,张春桥
136,姚文元
137,王洪文
138,东条英机
139,希特勒
140,墨索里尼
141,冈村秀树
142,冈村宁次
143,高丽朴
144,赵紫阳
145,王丹
146,沃尔开西
147,李洪志
148,李大师
149,赖昌星
150,马加爵
151,班禅
152,额尔德尼
153,山本五十六
154,阿扁
155,阿扁万岁
156,热那亚
157,热比娅
158,六四
159,六四运动
160,美国之音
161,密宗
162,民国
163,民进党
164,民运
165,民主
166,民主潮
167,摩门教
168,纳粹
169,南华早报
170,南蛮
171,明慧网
172,起义
173,亲民党
174,瘸腿帮
175,人民报
176,法轮功
177,法轮大法
178,打倒共产党
179,台独万岁
180,圣战
181,示威
182,台独
183,台独分子
184,台联
185,台湾民国
186,台湾岛国
187,台湾国
188,台湾独立
189,太子党
190,天安门事件
191,屠杀
192,小泉
193,新党
194,新疆独立
195,新疆分裂
196,新疆国
197,疆独
198,西藏独立
199,西藏分裂
200,西藏国
201,藏独
202,藏青会
203,藏妇会
204,学潮
205,学运
206,一党专政
207,一中一台
208,两个中国
209,一贯道
210,游行
211,造反
212,真善忍
213,镇压
214,政变
215,政治
216,政治反对派
217,政治犯
218,中共
219,共产党
220,反党
221,反共
222,政府
223,民主党
224,中国之春
225,转法轮
226,自焚
227,共党
228,共匪
229,苏家屯
230,基地组织
231,塔利班
232,东亚病夫
233,支那
234,高治联
235,高自联
236,专政
237,专制
238,世界维吾尔大会
239,核工业基地
240,核武器
241,铀
242,原子弹
243,氢弹
244,导弹
245,核潜艇
246,大参考
247,小参考
248,国内动态清样
249,多维
250,河殇
251,摩门教
252,穆罕默德
253,圣战
254,耶和华
255,耶稣
256,伊斯兰
257,真主安拉
258,白莲教
259,天主教
260,基督教
261,东正教
262,大法
263,法轮
264,法轮功
265,瘸腿帮
266,真理教
267,真善忍
268,转法轮
269,自焚
270,走向圆满
271,黄大仙
272,跳大神
273,神汉
274,神婆
275,真理教
276,大卫教
277,阎王
278,黑白无常
279,牛头马面
280,藏独
281,高丽棒子
282,疆独
283,蒙古鞑子
284,台独
285,台独分子
286,台联
287,台湾民国
288,西藏独立
289,新疆独立
290,南蛮
291,老毛子
292,回民吃猪肉
293,谋杀
294,杀人
295,吸毒
296,贩毒
297,赌博
298,拐卖
299,走私
300,卖淫
301,造反
302,强奸
303,轮奸
304,抢劫
305,先奸后杀
306,下注
307,抽头
308,坐庄
309,赌马
310,赌球
311,筹码
312,老虎机
313,轮盘赌
314,安非他命
315,大麻
316,可卡因
