strAnitile,unTimeFrame,unTimeAction,nLeftX,nRightX,nY,unDelay,strSoundtile
flashs/assets/effects/1.swf,0,1000,-110,0,-210,100,music/skill/m_tks.ogg
flashs/assets/effects/2.swf,0,1000,-180,0,-220,100,music/skill/m_sst.ogg
flashs/assets/effects/3.swf,0,1000,-90,0,-300,100,music/skill/m_zbz.ogg
flashs/assets/effects/16.swf,0,1000,-130,0,-220,100,music/skill/m_fxjs.ogg
flashs/assets/effects/17.swf,0,1000,-170,0,-240,100,music/skill/m_hfzy.ogg
flashs/assets/effects/18.swf,0,1000,-140,0,-210,100,music/skill/m_lfsg.ogg
flashs/assets/effects/19.swf,0,1000,-60,0,-250,100,music/skill/m_xqyj.ogg
flashs/assets/effects/20.swf,0,1000,-180,0,-230,100,music/skill/m_jfzq.ogg
flashs/assets/effects/21.swf,0,1000,-260,0,-300,100,music/skill/m_sjmd.ogg
flashs/assets/effects/22.swf,0,1000,0,350,200,100,music/skill/m_tmlxq.ogg
flashs/assets/effects/23.swf,0,1000,0,400,150,100,music/skill/m_nhsdd.ogg
flashs/assets/effects/24.swf,0,1000,-150,0,-220,100,music/skill/m_jhsn.ogg
flashs/assets/effects/25.swf,0,1000,0,0,0,100,music/skill/m_yzd.ogg
flashs/assets/effects/26.swf,0,1000,-110,0,-390,100,music/skill/m_zcdf.ogg
flashs/assets/effects/27.swf,0,1000,-120,0,-380,100,music/skill/m_txwn.ogg
flashs/assets/effects/28.swf,0,1000,-120,0,-140,100,music/skill/m_wycy.ogg
flashs/assets/effects/29.swf,0,1000,380,200,60,100,music/skill/m_hsz.ogg
flashs/assets/effects/30.swf,0,1000,-150,0,-200,100,music/skill/m_xxdf.ogg
flashs/assets/effects/31.swf,0,1000,-90,0,-190,100,music/skill/m_jzz.ogg
flashs/assets/effects/32.swf,0,1000,-130,0,-200,100,music/skill/m_gkft.ogg
flashs/assets/effects/33.swf,0,1000,-135,0,-295,100,music/skill/m_tdd.ogg
flashs/assets/effects/34.swf,0,1000,-130,0,-240,100,music/skill/m_gdjx.ogg
flashs/assets/effects/35.swf,0,1000,0,0,0,100,music/skill/m_ajb.ogg
flashs/assets/effects/36.swf,0,1000,-80,0,-130,100,music/skill/m_hmsz.ogg
flashs/assets/effects/37.swf,0,1000,-135,0,-135,100,music/skill/m_dcdh.ogg
flashs/assets/effects/38.swf,0,1000,-145,0,-130,100,music/skill/m_rmsd.ogg
flashs/assets/effects/39.swf,0,1000,-70,400,140,100,music/skill/m_jxfm.ogg
flashs/assets/effects/40.swf,0,1000,-120,0,-390,100,music/skill/m_gftj.ogg
flashs/assets/effects/41.swf,0,1000,70,530,130,100,music/skill/m_cnl.ogg
flashs/assets/effects/42.swf,0,1000,0,0,0,100,music/skill/m_wylr.ogg
flashs/assets/effects/43.swf,0,1000,50,450,80,100,music/skill/m_fstd.ogg
flashs/assets/effects/44.swf,0,1000,-100,500,120,100,music/skill/m_qzwq.ogg
flashs/assets/effects/45.swf,0,1000,0,0,0,100,music/skill/m_hd.ogg
